AX1,AX2,AY1,AY2,AZ1,AZ2,P0,P1,P10,P11,P2,P3,P4,P5,P6,P7,P8,P9,active,changes,encB,encT,j,k,pitch,roll,time
-0.01,0.0,0.01,0.02,1.0,1.01,98.18,3.67,1.79,5.75,5.94,19.09,3.9,2.55,11.22,1.94,3.29,0.61,1.0,0.66,5.3,1.97,765.0,1.0,-0.01,0.01,14.87
-0.03,-0.01,0.01,0.04,1.01,1.01,78.35,5.25,3.02,6.09,6.53,16.89,6.13,4.27,9.21,2.36,3.46,0.85,1.0,14.1,2.49,5.13,785.0,11.0,-0.01,0.02,15.36
-0.06,-0.03,0.01,0.06,1.0,1.01,38.75,18.96,23.89,25.97,29.95,34.75,40.9,34.06,20.6,11.83,15.06,5.88,1.0,0.35,5.87,6.28,812.0,1.0,-0.01,0.04,15.84
-0.04,-0.02,0.0,0.04,1.01,1.0,-42.29,6.91,34.96,36.68,39.18,40.3,55.32,50.71,27.15,16.07,21.94,8.6,1.0,0.05,2.89,0.95,853.0,1.0,-0.01,0.04,16.33
-0.04,-0.02,0.01,0.04,1.0,1.01,43.5,5.99,34.55,37.67,42.79,50.65,55.57,50.0,29.62,16.48,22.08,8.47,1.0,0.17,6.15,1.25,875.0,1.0,-0.01,0.04,16.82
-0.03,-0.01,0.01,0.03,1.0,1.0,30.41,-0.18,37.6,40.5,46.32,54.56,60.81,54.73,19.95,17.98,23.67,9.08,1.0,0.62,3.12,2.18,916.0,1.0,-0.01,0.04,17.31
0.02,0.01,0.01,-0.01,1.01,1.01,189.34,-14.23,8.96,16.19,18.32,38.68,15.9,13.42,-8.64,7.04,8.31,2.28,1.0,2.86,0.06,2.66,931.0,5.0,-0.01,0.02,17.81
-0.0,0.0,0.01,0.01,1.0,1.01,98.94,64.56,7.52,8.73,13.93,35.86,18.2,9.87,70.99,4.35,5.88,1.85,1.0,18.23,3.46,5.15,936.0,6.0,-0.01,0.01,18.31
-0.0,0.0,0.01,0.01,1.0,1.0,97.0,18.97,7.42,9.5,14.24,33.12,15.55,10.35,8.27,4.86,4.87,1.7,1.0,1.57,0.51,1.91,968.0,1.0,-0.01,0.01,18.8
0.0,0.01,0.01,0.01,1.0,1.01,96.86,12.2,8.69,11.17,15.55,34.1,16.99,12.18,2.29,5.5,5.8,2.02,1.0,0.04,3.89,4.94,1008.0,1.0,-0.01,0.01,19.29
-0.01,0.0,0.01,0.01,0.99,1.01,91.04,11.32,8.61,10.89,15.02,33.39,16.51,12.08,1.36,5.32,5.68,1.99,1.0,0.13,0.95,2.8,1049.0,1.0,-0.01,0.01,19.79
-0.03,-0.01,0.01,0.03,1.0,1.01,21.76,3.18,16.95,17.99,20.7,30.2,26.75,24.45,-1.01,7.89,10.9,4.12,1.0,8.3,4.31,6.1,1081.0,10.0,-0.01,0.02,20.28
-0.03,-0.01,0.01,0.04,1.0,1.01,93.45,6.6,4.2,6.82,10.11,24.71,9.53,5.82,-0.55,3.53,3.13,0.94,1.0,7.57,1.23,3.76,1084.0,27.0,-0.01,0.03,20.78
-0.05,-0.02,0.01,0.05,0.99,1.0,-122.42,-20.76,22.16,22.29,20.97,-3.64,29.44,32.44,-11.3,8.29,14.52,5.56,1.0,4.68,4.63,6.06,1084.0,68.0,-0.01,0.03,21.25
-0.01,0.0,0.01,0.02,1.0,1.0,90.78,7.52,2.77,4.99,7.54,24.43,7.44,3.67,0.02,2.89,2.15,0.6,1.0,10.51,1.51,3.4,1095.0,27.0,-0.01,0.02,21.76
0.0,0.0,0.01,0.01,1.01,1.0,91.51,4.19,9.8,12.91,15.73,35.54,18.22,13.62,-3.05,6.35,6.92,2.32,1.0,3.54,4.92,6.22,1109.0,7.0,-0.01,0.01,22.24
